id,power_plant,code_cwape,operator,location,nominal_power,lat,lon,brand,type,state
Estinnes5,Estinnes,798,Windvision Windfarm Estinnes,ESTINNES - Levant de Mons,7.5,50.416311,4.089751,Enercon,E 126,En fonction
Estinnes6,Estinnes,798,Windvision Windfarm Estinnes,ESTINNES - Levant de Mons,7.5,50.411221,4.070801,Enercon,E 126,En fonction
Estinnes7,Estinnes,798,Windvision Windfarm Estinnes,ESTINNES - Levant de Mons,7.5,50.411461,4.080451,Enercon,E 126,En fonction
Estinnes8,Estinnes,798,Windvision Windfarm Estinnes,ESTINNES - Levant de Mons,7.5,50.406603,4.072054,Enercon,E 126,En fonction
Estinnes9,Estinnes,798,Windvision Windfarm Estinnes,ESTINNES - Levant de Mons,7.5,50.406615,4.084124,Enercon,E 126,En fonction
Feluy,Feluy,10013,Gestamp Wind Feluy,Feluy,2.05,50.548358,4.237115,Senvion,MM92,En fonction
Feluy1,Feluy,10013,Gestamp Wind Feluy,Feluy,2.05,50.551547,4.234962,Senvion,MM92,En fonction
Feluy2,Feluy,10013,Gestamp Wind Feluy,Feluy,2.05,50.553664,4.230327,Senvion,MM92,En fonction
Feluy3,Feluy,10013,Gestamp Wind Feluy,Feluy,2.05,50.569162,4.22935,Senvion,MM92,En fonction
Feluy4,Feluy,10013,Gestamp Wind Feluy,Feluy,2.05,50.562216,4.225292,Senvion,MM92,En fonction
Feluy5,Feluy,10013,Gestamp Wind Feluy,Feluy,2.05,50.564994,4.2251,Senvion,MM92,En fonction
Feluy6,Feluy,10013,Gestamp Wind Feluy,Feluy,2.05,50.567585,4.226645,Senvion,MM92,En fonction
Fernelmont,Fernelmont,0,EDF LUMINUS,Fernelmont 2 (Marchovelette),3.45,50.527268,4.92433,Vestas,V112,En Construction
Fernelmont1,Fernelmont,0,EDF LUMINUS,Fernelmont 2 (Marchovelette),3.45,50.52907,4.931051,Vestas,V112,En Construction
Fernelmont2,Fernelmont,0,EDF LUMINUS,Fernelmont 2 (Marchovelette),3.45,50.522954,4.922263,Vestas,V112,En Construction
Fernelmont3,Fernelmont,0,EDF LUMINUS,Fernelmont 2 (Marchovelette),3.45,50.52441,4.927977,Vestas,V112,En Construction
Fernelmont4,Fernelmont,3094,EDF LUMINUS,Fernelmont,2.3,50.531935,4.969297,Enercon,E82,En fonction
Fernelmont5,Fernelmont,3094,EDF LUMINUS,Fernelmont,2.3,50.534858,4.955129,Enercon,E82,En fonction
Fernelmont6,Fernelmont,3094,EDF LUMINUS,Fernelmont 2,2.3,50.533051,4.963809,Enercon,E82,En fonction
Floreffe - Fosses-la-Ville,Floreffe - Fosses-la-Ville,7056,EDF LUMINUS,Floreffe/Fosses-la-ville (plateau de Taravisée),2.3,50.411352,4.702096,Enercon,E82,En fonction
Floreffe - Fosses-la-Ville1,Floreffe - Fosses-la-Ville,7056,EDF LUMINUS,Floreffe/Fosses-la-ville (plateau de Taravisée),2.3,50.424102,4.710826,Enercon,E82,En fonction
